user_id:token,item_id:token,rating:float,timestamp:float
1,1,5.0,1257897600
2,1,5.0,1295827200
3,1,5.0,1110499200
4,1,5.0,1137369600
5,1,5.0,1306972800
6,1,5.0,1244592000
7,1,5.0,1163635200
8,1,5.0,1128470400
9,1,5.0,1195257600
10,1,5.0,1109635200
11,1,4.0,1109635200
12,1,5.0,1158364800
13,1,5.0,1121040000
14,1,5.0,1109635200
15,1,3.0,1168473600
16,1,5.0,1341273600
17,1,5.0,1335830400
18,1,5.0,1125532800
19,1,5.0,1110153600
20,1,5.0,1312761600
21,1,4.0,1361750400
22,1,5.0,1143072000
23,1,5.0,1109548800
24,1,5.0,1109980800
25,2,3.0,1250553600
26,2,4.0,1174608000
27,2,5.0,1033948800
28,2,5.0,1237939200
29,2,5.0,1081900800
30,2,4.0,1188000000
31,2,5.0,1128384000
32,2,4.0,1092528000
33,2,5.0,1088208000
34,2,2.0,1110412800
35,2,5.0,1097712000
36,2,4.0,1244505600
37,2,4.0,1123804800
38,2,4.0,1373587200
39,2,5.0,981072000
40,2,4.0,1014768000
41,2,5.0,1374883200
42,2,5.0,1282003200
43,2,5.0,1144281600
44,2,4.0,1166659200
45,2,5.0,1008720000
25,3,4.0,1349481600
46,3,5.0,1339459200
47,3,5.0,1339545600
48,3,5.0,1397692800
49,3,4.0,1369699200
50,3,4.0,1346198400
51,3,5.0,1339632000
52,3,3.0,1356393600
53,3,5.0,1339459200
54,3,5.0,1339459200
55,3,5.0,1340064000
56,3,3.0,1342051200
57,3,5.0,1339459200
58,3,3.0,1339718400
59,3,4.0,1344038400
60,3,5.0,1339545600
61,3,5.0,1340323200
62,3,5.0,1361232000
63,3,5.0,1339718400
64,3,4.0,1339459200
65,3,5.0,1346457600
66,3,2.0,1369612800
67,3,5.0,1340409600
68,3,5.0,1339804800
69,3,5.0,1359417600
70,3,5.0,1340150400
71,3,5.0,1343174400
72,3,3.0,1360368000
73,3,5.0,1340236800
74,3,5.0,1339804800
17,3,3.0,1349222400
