user_id:token,item_id:token,rating:float,timestamp:float
1,1,3,881250949
2,2,3,891717742
3,3,2,880606923
4,4,4,884182806
5,5,2,881171488
6,6,5,891628467
7,7,3,886324817
8,8,3,883603013
9,9,2,879372434
10,10,5,879781125
11,11,5,876042340
12,12,3,891035994
13,13,3,888104457
14,14,3,879485318
15,15,5,879270459
16,16,2,879539794
17,17,4,874834944
18,18,4,886176814
19,19,4,892738452
20,20,4,877881320
17,21,2,874833878
21,22,4,887736532
22,23,2,879196566
23,24,5,892430094
24,25,2,883748450
25,26,4,875747401
26,27,5,876861185
27,28,3,877052329
28,29,4,882075827
29,30,4,879539727
30,31,4,880731963
31,32,3,884238860
32,16,4,886890835
33,33,5,891295330
34,34,1,874791932
35,35,4,891350932
36,36,4,877888877
37,37,4,885329322
38,38,2,884114233
34,39,3,874791805
39,40,5,875333916
40,41,5,884921594
41,42,5,879641194
42,43,5,886519097
43,44,3,882823437
44,45,4,886271884
45,46,2,876535131
46,47,4,890618898
47,48,5,885853415
48,49,5,888205088
49,50,2,880037164
50,51,4,879877127
30,52,5,880474293
51,53,5,881107687
52,54,4,881103977
5,55,3,881171009
53,56,1,879667584
38,57,4,884112673
54,58,3,882141053
40,59,4,884920949
55,60,5,879024232
19,61,1,892738341
56,62,5,883326620
57,37,5,883698581
58,16,4,891550094
59,63,4,893277702
60,64,3,879987440
61,65,1,890251826
40,66,3,884923047
16,67,4,879546723
62,68,2,887249482
43,69,4,882823954
63,70,3,888906576
64,71,5,884364867
29,72,5,879539643
20,71,3,878192429
29,73,5,879540748
34,74,3,874791025
17,20,5,874835091
65,75,4,878183381
66,76,5,878971773
51,77,3,881108684
67,78,4,891903862
22,79,4,888954412
68,80,4,879361873
69,81,4,877635573
50,82,4,879876194
70,83,5,875296291
71,84,2,885557505
9,85,4,879373848
9,86,3,879375537
72,87,4,881961214
73,88,4,879857765
74,89,3,883709863
75,86,5,891383835
10,90,4,877531942
63,91,3,888905170
76,20,4,880234639
77,92,4,878090499
78,93,5,885848672
26,94,5,876860807
79,21,4,875320714
80,85,3,884207492
51,95,5,881107178
81,96,5,884288058
82,97,4,886987260
83,20,4,884304936
75,98,4,891384754
78,99,4,885844430
9,100,3,879373460
70,101,3,881375854
84,102,4,879376641
85,103,4,891720887
86,104,3,879966895
4,105,4,884182806
87,106,5,878347874
88,107,5,886122352
16,108,2,879524643
49,106,5,880037702
65,109,5,883815120
77,110,3,878089182
89,5,3,890687042
13,111,3,888082216
90,112,3,878769629
91,113,4,879791710
63,114,3,888904884
76,115,3,880245029
77,116,3,878092059
48,88,5,888205300
10,117,5,877533771
3,118,4,880605185
35,119,4,891352010
92,120,1,886434402
50,16,4,879876734
90,121,2,884714402
54,122,2,882139746
54,123,4,884538403
3,124,2,880605157
7,62,5,886323090
93,125,2,883955745
20,126,4,889502823
57,127,3,883698454
94,128,3,883452363
95,129,4,891449922
20,78,3,877878184
16,130,4,879525876
26,112,4,876860807
42,131,3,885678247
36,19,4,877886846
96,132,4,874724988
97,62,3,879456350
14,59,4,879467295
98,133,5,878870987
99,102,3,891387947
75,29,5,891383204
100,134,2,888067405
51,135,3,881108425
101,136,2,879371261
102,132,4,876973939
103,137,4,875537965
104,43,4,885412840
105,138,4,875744136
106,139,3,875636053
7,132,2,886324028
87,89,4,883612356
93,140,4,875975656
107,130,5,887401701
108,141,4,886472768
4,142,3,884183336
70,143,1,892174404
109,144,4,883601324
110,145,3,880130193
105,146,2,875542174
42,147,4,885680138
54,29,4,881515011
111,148,3,891347949
35,149,4,891353086
65,150,4,878183481
11,151,5,884128554
18,152,4,876923913
98,153,5,878955442
34,47,3,874786392
85,154,3,891723086
112,117,4,875801662
23,152,4,892428688
26,155,3,876857977
63,156,3,888906966
111,157,2,891385985
112,158,4,875216545
61,159,3,886443455
113,160,4,882164999
114,161,4,878542420
49,162,4,880036718
115,150,3,892910207
116,128,2,879455957
61,163,3,875654637
117,164,2,884386343
52,94,5,881105481
118,165,5,888549622
44,166,2,886272175
13,60,3,888104153
119,167,4,878962392
96,168,4,874724710
7,114,4,886323648
120,169,3,882922806
121,170,5,891170769
122,171,5,877399018
123,172,2,892838559
31,173,5,884238860
83,174,4,884304936
124,27,4,887665548
75,175,4,891383319
125,176,5,879455113
16,48,3,879521396
123,177,4,879454628
82,178,1,886987605
20,125,4,877877775
126,179,5,879524921
95,180,4,891446165
8,125,5,883599249
127,181,3,880937882
14,182,5,879467542
128,183,1,877727122
28,184,4,882078621
34,185,3,874793035
7,186,2,886323068
16,187,2,879541148
129,136,2,891438397
50,188,4,879875940
130,189,4,877819599
10,190,4,877531791
11,191,5,884128458
131,152,1,891632142
43,192,4,882826555
14,193,2,879484804
9,194,4,879374686
117,195,3,876018608
61,153,4,875653271
28,196,4,882078040
132,197,3,884150257
25,1,3,875747190
72,41,3,881961671
70,198,4,875307407
77,199,4,878089716
133,29,3,890881335
20,200,3,889502324
16,74,3,879525876
14,118,3,879485532
18,72,5,874775038
134,201,5,879966498
105,157,2,875742942
105,139,2,875744173
109,148,4,883601089
135,170,5,879394264
124,202,4,880308578
136,203,3,891542540
137,164,2,881368243
138,204,4,891374868
105,205,1,875744501
28,206,4,882076587
139,207,5,879283786
140,208,3,892334609
124,209,4,880308755
119,110,2,878961624
141,210,4,875240090
23,211,5,892430369
35,86,4,891352093
88,212,4,886122952
119,213,1,878961814
97,214,4,879456199
95,215,3,891450023
48,216,3,888205855
10,52,4,889651549
142,95,1,889124507
143,217,5,875936424
52,218,5,881104093
112,10,3,876250718
144,29,4,875155140
59,219,5,893265380
145,220,1,889452455
146,87,5,877488546
147,62,3,879873020
18,11,5,874775311
148,137,4,880134407
65,21,4,877563802
149,47,2,879436875
70,221,3,875308843
28,147,5,882076403
119,222,2,878963441
54,223,3,881515193
114,224,3,888732928
71,72,5,875270570
150,108,4,874786462
151,225,5,884197193
51,23,3,881105817
152,213,3,891964230
28,188,3,882078830
128,226,5,877720297
22,112,3,879197562
153,227,4,879138713
154,228,5,884733766
151,229,5,884196584
149,230,2,879436785
3,151,3,880606667
65,163,4,878183616
54,231,5,882140588
128,225,5,877722736
155,160,4,876956264
71,64,2,875270655
156,226,5,879465631
11,37,5,876041644
157,232,5,887646170
158,233,3,877136138
159,201,3,889909840
86,234,4,879967478
159,211,3,889911285
114,235,4,878542699
114,236,4,875072547
159,237,5,889906967
127,217,3,880937813
85,238,4,891725009
86,229,4,879967767
150,136,2,874784266
28,239,3,882077222
28,240,3,882075672
90,241,3,878769848
65,242,3,878181976
146,243,3,877488316
21,244,4,887739521
14,245,5,879467959
160,246,3,890588547
161,247,2,891435680
108,248,4,887347350
34,139,4,874792436
162,249,1,888442575
25,250,3,875747514
66,251,4,878970785
54,206,5,881515011
163,252,3,885775745
10,72,2,875806800
130,253,5,889241426
75,254,4,891384424
110,60,4,880129731
61,71,3,875656201
21,255,4,887739292
164,207,3,888105691
165,2,4,891560253
48,256,3,888206409
11,95,5,884129409
128,257,5,877726146
166,258,3,892302309
78,259,4,885848448
78,260,3,885849325
167,261,5,888640356
144,262,3,876197678
65,96,3,878182109
50,12,3,879876917
117,148,4,877879172
168,263,4,880130397
117,264,2,879664906
20,265,3,889503806
78,266,4,885849447
7,267,4,886324486
100,268,2,888068912
112,269,3,874953895
36,270,3,877888677
169,237,3,880433418
165,271,4,891560842
93,136,3,875975110
170,272,5,874951695
171,95,5,891409839
54,204,2,888073635
16,273,3,879527264
140,274,4,892334543
21,275,4,887740700
21,276,4,887737036
95,277,5,891447773
85,5,4,891721889
105,278,3,875310824
125,279,5,879455254
99,280,3,891390477
151,55,5,884196921
172,271,3,891732334
173,281,5,877544218
140,282,3,892079140
162,132,2,888465972
23,283,1,892434626
95,284,1,891456255
35,285,4,891353444
144,128,2,876197645
120,286,3,882922661
24,287,3,888801465
54,288,4,890704999
43,289,4,882827532
174,290,3,890116671
113,291,5,882165296
175,292,5,891299752
3,288,3,880605697
93,118,4,883956189
124,293,2,880309089
126,257,5,879528710
108,294,2,886474216
176,295,3,880579371
141,296,3,875239422
41,297,4,879641067
164,298,4,888106106
28,299,4,882075994
177,18,3,889737542
