item_id:token,movie_title:token_seq,release_year:token,genre:token_seq,interaction_count,pop_score,popularity_label
105.0,American Beauty,1999,Comedy Drama,2767,0.0034353765567519986,1
45.0,Star Wars: Episode IV - A New Hope,1977,Action Adventure Fantasy Sci-Fi,2453,0.003045528982187442,1
125.0,Star Wars: Episode V - The Empire Strikes Back,1980,Action Adventure Drama Sci-Fi War,2437,0.0030256641376236433,1
65.0,Star Wars: Episode VI - Return of the Jedi,1983,Action Adventure Romance Sci-Fi War,2329,0.0028915764368179996,1
49.0,Saving Private Ryan,1998,Action Drama War,2189,0.002717759046884758,1
114.0,Jurassic Park,1993,Action Adventure Sci-Fi,2136,0.0026519567492671735,1
98.0,Terminator 2: Judgment Day,1991,Action Sci-Fi Thriller,2135,0.002650715196481936,1
133.0,"Matrix, The",1999,Action Sci-Fi Thriller,2098,0.0026047777434281506,1
23.0,Back to the Future,1985,Comedy Sci-Fi,2097,0.0026035361906429134,1
129.0,"Silence of the Lambs, The",1991,Drama Thriller,2079,0.0025811882405086394,1
190.0,Men in Black,1997,Action Adventure Comedy Sci-Fi,2072,0.002572497371011977,1
128.0,Raiders of the Lost Ark,1981,Action Adventure,2066,0.0025650480543005527,1
52.0,Fargo,1996,Crime Drama Thriller,2034,0.0025253183651729543,1
39.0,"Sixth Sense, The",1999,Thriller,2030,0.0025203521540320046,1
93.0,Braveheart,1995,Action Drama War,1978,0.002455791409199658,1
135.0,Shakespeare in Love,1998,Comedy Romance,1921,0.0023850229004411237,1
247.0,L.A. Confidential,1997,Crime Film-Noir Mystery Thriller,1879,0.002332877683461151,1
24.0,Schindler's List,1993,Drama War,1862,0.0023117712861121147,1
6.0,"Princess Bride, The",1987,Action Adventure Comedy Romance,1846,0.0022919064415483155,1
117.0,Groundhog Day,1993,Comedy Romance,1837,0.0022807324664811785,1
185.0,Being John Malkovich,1999,Comedy,1833,0.002275766255340229,1
168.0,"Shawshank Redemption, The",1994,Drama,1818,0.0022571429635616673,1
61.0,Star Wars: Episode I - The Phantom Menace,1999,Action Adventure Fantasy Sci-Fi,1816,0.0022546598579911924,1
670.0,"Godfather, The",1972,Action Crime Drama,1810,0.002247210541279768,1
27.0,E.T. the Extra-Terrestrial,1982,Children's Drama Fantasy Sci-Fi,1809,0.0022459689884945302,1
274.0,Ghostbusters,1984,Comedy Horror,1796,0.0022298288022864435,1
245.0,Pulp Fiction,1994,Crime Drama,1789,0.0022211379327897814,1
172.0,Forrest Gump,1994,Comedy Romance War,1765,0.002191340665944083,1
218.0,"Terminator, The",1984,Action Sci-Fi Thriller,1698,0.0021081566293331745,1
41.0,Toy Story,1995,Animation Children's Comedy,1692,0.00210070731262175,1
152.0,"Fugitive, The",1993,Action Thriller,1632,0.0020262141455075033,1
210.0,Alien,1979,Action Horror Sci-Fi Thriller,1631,0.0020249725927222657,1
63.0,Total Recall,1990,Action Adventure Sci-Fi Thriller,1605,0.0019926922203060923,1
69.0,Gladiator,2000,Action Drama,1542,0.0019144743948361336,1
715.0,Aliens,1986,Action Sci-Fi Thriller War,1466,0.0018201163831580883,1
744.0,Blade Runner,1982,Film-Noir Sci-Fi,1448,0.0017977684330238142,1
219.0,Who Framed Roger Rabbit?,1988,Adventure Animation Film-Noir,1446,0.0017952853274533394,1
85.0,Stand by Me,1986,Adventure Comedy Drama,1430,0.0017754204828895402,1
161.0,Independence Day (ID4),1996,Action Sci-Fi War,1424,0.0017679711661781157,1
278.0,"Abyss, The",1989,Action Adventure Sci-Fi Thriller,1418,0.001760521849466691,1
382.0,Babe,1995,Children's Comedy Drama,1417,0.0017592802966814535,1
260.0,"Usual Suspects, The",1995,Crime Thriller,1416,0.001758038743896216,1
734.0,Galaxy Quest,1999,Adventure Comedy Sci-Fi,1414,0.0017555556383257412,1
10.0,"Wizard of Oz, The",1939,Adventure Children's Drama Musical,1401,0.0017394154521176545,1
1.0,One Flew Over the Cuckoo's Nest,1975,Drama,1397,0.0017344492409767048,1
214.0,Jaws,1975,Action Horror,1393,0.001729483029835755,1
16.0,Airplane!,1980,Comedy,1384,0.001718309054768618,1
663.0,2001: A Space Odyssey,1968,Drama Mystery Sci-Fi Thriller,1383,0.0017170675019833805,1
435.0,"Godfather: Part II, The",1974,Action Crime Drama,1370,0.0017009273157752938,1
5.0,"Bug's Life, A",1998,Animation Children's Comedy,1362,0.0016909948934933944,1
421.0,Casablanca,1942,Drama Romance War,1346,0.0016711300489295952,1
265.0,Speed,1994,Action Romance Thriller,1332,0.0016537483099362711,1
211.0,Die Hard,1988,Action Thriller,1326,0.0016462989932248464,1
68.0,GoodFellas,1990,Crime Drama,1324,0.0016438158876543715,1
79.0,"Hunt for Red October, The",1990,Action Thriller,1322,0.0016413327820838967,1
712.0,Lethal Weapon,1987,Action Comedy Crime Drama,1317,0.0016351250181577096,1
51.0,Toy Story 2,1999,Animation Children's Comedy,1301,0.0016152601735939104,1
187.0,Indiana Jones and the Last Crusade,1989,Action Adventure,1298,0.0016115355152381981,1
207.0,Monty Python and the Holy Grail,1974,Comedy,1284,0.001594153776244874,1
28.0,Titanic,1997,Drama Romance,1266,0.0015718058261106,1
169.0,"Breakfast Club, The",1985,Comedy Drama,1251,0.0015531825343320384,1
59.0,Mission: Impossible,1996,Action Adventure Mystery,1239,0.0015382839009091891,1
548.0,When Harry Met Sally...,1989,Comedy Romance,1235,0.0015333176897682392,1
316.0,Election,1999,Comedy,1233,0.0015308345841977644,1
281.0,Good Will Hunting,1997,Drama,1233,0.0015308345841977644,1
377.0,Twelve Monkeys,1995,Drama Sci-Fi,1223,0.00151841905634539,1
238.0,X-Men,2000,Action Sci-Fi,1219,0.0015134528452044403,1
284.0,Edward Scissorhands,1990,Drama Romance,1217,0.0015109697396339654,1
14.0,Ferris Bueller's Day Off,1986,Comedy,1214,0.0015072450812782532,1
643.0,Beetlejuice,1988,Comedy Fantasy,1210,0.0015022788701373033,1
